         259169 function calls (254411 primitive calls) in 3.619 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1374(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1382(LoggerAdapter)
        1    0.003    0.003    0.289    0.289 __init__.py:14(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.005    0.005    0.113    0.113 __init__.py:15(<module>)
        1    0.002    0.002    0.028    0.028 __init__.py:153(<module>)
        7    0.000    0.000    0.002    0.000 __init__.py:1548(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1670(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1686(createLock)
        2    0.025    0.012    0.964    0.482 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        9    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        5    0.024    0.005    0.190    0.038 __init__.py:2(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:20(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        9    0.000    0.000    0.001    0.000 __init__.py:210(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:219(Server)
        9    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.014    0.014    0.018    0.018 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.001    0.001 __init__.py:23(match_hostname)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.003    0.003    0.003    0.003 __init__.py:24(<module>)
